"media_type","sha256","group_size","canonical_file_name","canonical_relative_path","canonical_source_path","tivimate_deduped_path","runtime_deduped_path","total_group_bytes"
"epg","15A5795CDAD67CA7852EC35FFB1876A02228D3F6AD4EEAFBA2BC56C7869DF47D","1","15A5795CDA__tvtv.us.channels.xml","15A5795CDA__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\15A5795CDA__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\15A5795CDA__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\15A5795CDA__tvtv.us.channels.xml","260963"
"epg","175937284BCB32329B9F94F7DF4E9DE8327F1153B02B42159FB3E7A5073ED2D3","1","175937284B__directv.com.channels.xml","175937284B__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\175937284B__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\175937284B__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\175937284B__directv.com.channels.xml","116197"
"epg","175B0DCE5576E2DF78F7B3F8D38E7C43225D7CE9B9925E07878AB01C64E75F04","1","175B0DCE55__epg_openepg_ca3.xml.gz","175B0DCE55__epg_openepg_ca3.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\175B0DCE55__epg_openepg_ca3.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\175B0DCE55__epg_openepg_ca3.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\175B0DCE55__epg_openepg_ca3.xml.gz","829488"
"epg","1834A6AF2F0E56F3095E3724BE3406076E34E12656C9414C6BC97E975D44ACEB","1","1834A6AF2F__chaines-tv.orange.fr.channels.xml","1834A6AF2F__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1834A6AF2F__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\1834A6AF2F__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\1834A6AF2F__chaines-tv.orange.fr.channels.xml","119042"
"epg","1D0C798028EE15DF431B97E0EA905C8EE8B6B62632BC703F725CE0DE844AD5BC","1","1D0C798028__ontvtonight.com_au.channels.xml","1D0C798028__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1D0C798028__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\1D0C798028__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\1D0C798028__ontvtonight.com_au.channels.xml","174279"
"epg","1DC743E9DED3E7EF20991852C6AC1C3C7019669463933B4EBB666B5C1B2F8BF8","2","1DC743E9DE__ontvtonight.com_us.channels.xml","1DC743E9DE__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1DC743E9DE__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\1DC743E9DE__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\1DC743E9DE__ontvtonight.com_us.channels.xml","517220"
"epg","1F231E49EEC152768D332B5B5F4B6CE20EFDD229F853AFBC13011BB31779A2A9","1","1F231E49EE__open-epg-ca.xml","1F231E49EE__open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1F231E49EE__open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\1F231E49EE__open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\1F231E49EE__open-epg-ca.xml","23409316"
"epg","20961324F097FF63C51E57671E75EB0E8B8B9A00712D2F40ED076A6DFFD7E882","1","20961324F0__epg_epgpw_ca.xml.gz","20961324F0__epg_epgpw_ca.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\20961324F0__epg_epgpw_ca.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\20961324F0__epg_epgpw_ca.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\20961324F0__epg_epgpw_ca.xml.gz","1994765"
"epg","226539961259D2A07548E739093E3606A83F176F3EEAE52AE027C8B6FF5AD35C","1","2265399612__epg_openepg_nz1.xml.gz","2265399612__epg_openepg_nz1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\2265399612__epg_openepg_nz1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\2265399612__epg_openepg_nz1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\2265399612__epg_openepg_nz1.xml.gz","106992"
"epg","23556395A41E8B33D430D120FF8FEE469F9A53E6B8A49491C9ED67FA5CD391C8","1","23556395A4__epg_openepg_us1.xml.gz","23556395A4__epg_openepg_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\23556395A4__epg_openepg_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\23556395A4__epg_openepg_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\23556395A4__epg_openepg_us1.xml.gz","246508"
"epg","28A114F5B782FF968BE90FB4A7149434186C2FA7CD339151EAF54100ABCC8322","1","28A114F5B7__streamingtvguides.com.channels.xml","28A114F5B7__streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\28A114F5B7__streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\28A114F5B7__streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\28A114F5B7__streamingtvguides.com.channels.xml","339816"
"epg","2AAB6568749643C60891FE4012E19EDB77447EB1A38A503A4A3ED97D2CF856A2","1","2AAB656874__content.xml","2AAB656874__content.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\2AAB656874__content.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\2AAB656874__content.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\2AAB656874__content.xml","137171"
"epg","2E56DE669956640DE414BB4E8848EF4669243C9D48733CE5C00634FCAB5807D2","1","2E56DE6699__filtered_epg_08-21-2025_00-55-19.xml.gz","2E56DE6699__filtered_epg_08-21-2025_00-55-19.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\2E56DE6699__filtered_epg_08-21-2025_00-55-19.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\2E56DE6699__filtered_epg_08-21-2025_00-55-19.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\2E56DE6699__filtered_epg_08-21-2025_00-55-19.xml.gz","104630"
"epg","311F6B44C5F69F61795BCD1863C36AFF4168F2632759D7F7913B75DC2AA306EB","1","311F6B44C5__discover_us_directv.xml","311F6B44C5__discover_us_directv.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\311F6B44C5__discover_us_directv.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\311F6B44C5__discover_us_directv.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\311F6B44C5__discover_us_directv.xml","129084"
"epg","31C4D2299B8881ACEBC4688F13D4F19E16927BD93F2991C244A1E35EBBC3E79B","1","31C4D2299B__tvtv.us.channels.xml","31C4D2299B__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\31C4D2299B__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\31C4D2299B__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\31C4D2299B__tvtv.us.channels.xml","266222"
"epg","331AE3F17F67B83F63A7D452F4E2AD95325B2CAC548A7D69E5D510413928BB08","1","331AE3F17F__content.xml","331AE3F17F__content.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\331AE3F17F__content.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\331AE3F17F__content.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\331AE3F17F__content.xml","12088030"
"epg","332C4E63EB7350DD817DF5E569722645A7507A366553E0FBEAC5E5942E62517D","1","332C4E63EB__epg_epgshare_rakuten1.xml.gz","332C4E63EB__epg_epgshare_rakuten1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\332C4E63EB__epg_epgshare_rakuten1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\332C4E63EB__epg_epgshare_rakuten1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\332C4E63EB__epg_epgshare_rakuten1.xml.gz","8926343"
"epg","38BE410B9CD7C6EFA0175889DFDD3E57BCD0DADF8728B7D4E8E7FFADF07D082D","1","38BE410B9C__directv.com.channels.xml","38BE410B9C__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\38BE410B9C__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\38BE410B9C__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\38BE410B9C__directv.com.channels.xml","116439"
"epg","4144F201542AA626DAB8A5E4B4B90F99A177D94148C786F1B2E07BBECF11C94B","1","4144F20154__epg.iptvx.one.channels.xml","4144F20154__epg.iptvx.one.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\4144F20154__epg.iptvx.one.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4144F20154__epg.iptvx.one.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\4144F20154__epg.iptvx.one.channels.xml","310277"
"epg","41E842131AA3097C2851820178F9ACADA360FEE3C84EA5ABCD77480BC7B7FAA9","1","41E842131A__tvprofil.com.channels.xml","41E842131A__tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\41E842131A__tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\41E842131A__tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\41E842131A__tvprofil.com.channels.xml","658826"
"epg","440A6C78E32085120E055336EFB6B898A1BF34AF030D2741839FBA58CDCCCBEA","1","440A6C78E3__epg_epgpw_us.xml.gz","440A6C78E3__epg_epgpw_us.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\440A6C78E3__epg_epgpw_us.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\440A6C78E3__epg_epgpw_us.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\440A6C78E3__epg_epgpw_us.xml.gz","1528894"
"epg","45289FBDC25B20EA00702E4FF319C814ED4013B5C0AE33F735F7E72D46316290","1","45289FBDC2__i.mjh.nz_samsung.channels.xml","45289FBDC2__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\45289FBDC2__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\45289FBDC2__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\45289FBDC2__i.mjh.nz_samsung.channels.xml","179197"
"epg","47E15D3924EE29A8EE35F8000283CA3072B213A7BB28290C5EC2FACEDDBDD49C","1","47E15D3924__epg_epgshare_us_locals2.xml.gz","47E15D3924__epg_epgshare_us_locals2.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\47E15D3924__epg_epgshare_us_locals2.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\47E15D3924__epg_epgshare_us_locals2.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\47E15D3924__epg_epgshare_us_locals2.xml.gz","30787662"
"epg","4D2B089DC5FC0F77FD7DAED83511BE16F4C2F08EF1983D57828528CF4A1080F0","1","4D2B089DC5__open-epg-au.xml","4D2B089DC5__open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\4D2B089DC5__open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4D2B089DC5__open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\4D2B089DC5__open-epg-au.xml","6592541"
"epg","4E0F54E40EE1218402021086E7638D2B92C9E2F80624E4708D92472C44A5603B","1","4E0F54E40E__epg_openepg_uk4.xml.gz","4E0F54E40E__epg_openepg_uk4.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\4E0F54E40E__epg_openepg_uk4.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4E0F54E40E__epg_openepg_uk4.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\4E0F54E40E__epg_openepg_uk4.xml.gz","1059308"
"epg","50979B71A9901C30C852AC6EDFF21A839559796468EF78950494515F66D39216","1","50979B71A9__tv24.co.uk.channels.xml","50979B71A9__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\50979B71A9__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\50979B71A9__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\50979B71A9__tv24.co.uk.channels.xml","109673"
"epg","56469FA94862CEE5BD50A559287B467800F2624359AEAF12138E195D2ACB3965","1","56469FA948__epg_epgshare_us1.xml.gz","56469FA948__epg_epgshare_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\56469FA948__epg_epgshare_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\56469FA948__epg_epgshare_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\56469FA948__epg_epgshare_us1.xml.gz","3041516"
"epg","574A7C454B69DC39753BED29391D16C62DB663188210E9124773060D3EE78467","1","574A7C454B__m.tv.sms.cz.channels.xml","574A7C454B__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\574A7C454B__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\574A7C454B__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\574A7C454B__m.tv.sms.cz.channels.xml","104383"
"epg","5DB8C6BB2A0A68527F0D0591AB6B485A17A5D6D4F6EE5B0F0344A964BB434E2E","1","5DB8C6BB2A__sat.tv_en.channels.xml","5DB8C6BB2A__sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\5DB8C6BB2A__sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\5DB8C6BB2A__sat.tv_en.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\5DB8C6BB2A__sat.tv_en.channels.xml","1464677"
"epg","6039B62C15309D943880E11A1E5B02D2F1237C89C5FD12903C4EBB53087F9ACD","1","6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","104630"
"epg","63DC7295629D4C0192CCF422A50C24C39AB0391AF08C6C9B45E0CFC917B589ED","1","63DC729562__tv.blue.ch.channels.xml","63DC729562__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\63DC729562__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\63DC729562__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\63DC729562__tv.blue.ch.channels.xml","101079"
"epg","64C86391E21BD8A043D484DE4C871CA27F829E01A5D718F12B80DFB9723CFAFB","1","64C86391E2__epg_openepg_us6.xml.gz","64C86391E2__epg_openepg_us6.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\64C86391E2__epg_openepg_us6.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\64C86391E2__epg_openepg_us6.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\64C86391E2__epg_openepg_us6.xml.gz","187214"
"epg","6A84124C6CB04A8EBEDDB944DE18DD7435027A3FAE994D1408F13AD03FE81863","1","6A84124C6C__ontvtonight.com_ca.channels.xml","6A84124C6C__ontvtonight.com_ca.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6A84124C6C__ontvtonight.com_ca.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\6A84124C6C__ontvtonight.com_ca.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\6A84124C6C__ontvtonight.com_ca.channels.xml","194733"
"epg","6B19EC653655E0783125288C2354128935A90E7EFEA7D5DBFF23341A3F2AD016","1","6B19EC6536__epg_iptvorg_directv_channels.xml","6B19EC6536__epg_iptvorg_directv_channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6B19EC6536__epg_iptvorg_directv_channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\6B19EC6536__epg_iptvorg_directv_channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\6B19EC6536__epg_iptvorg_directv_channels.xml","115153"
"epg","6CFBE66C11DEFB3DC52AA40F39187DBBE51BD805839A2DCD478523897998D2E0","1","6CFBE66C11__i.mjh.nz_au.channels.xml","6CFBE66C11__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6CFBE66C11__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\6CFBE66C11__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\6CFBE66C11__i.mjh.nz_au.channels.xml","140880"
"epg","6E4C9B70A862D397CB79A5CCE25C28AB998A21376581F7FD78E8F7FB58525653","1","6E4C9B70A8__i.mjh.nz_au.channels.xml","6E4C9B70A8__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6E4C9B70A8__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\6E4C9B70A8__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\6E4C9B70A8__i.mjh.nz_au.channels.xml","141023"
"epg","740AB2E12AC66C0A1E502FF12E4DB2EA80397F967D6C72F17001B94839557B54","1","740AB2E12A__i.mjh.nz_samsung.channels.xml","740AB2E12A__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\740AB2E12A__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\740AB2E12A__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\740AB2E12A__i.mjh.nz_samsung.channels.xml","179196"
"epg","75C7071A090D19CD78C205B71CAE253313051E6A2CE83EC45A42850F184006A1","1","75C7071A09__chaines-tv.orange.fr.channels.xml","75C7071A09__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\75C7071A09__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\75C7071A09__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\75C7071A09__chaines-tv.orange.fr.channels.xml","118383"
"epg","7963BB311D4FE45CC6CE739F7E2D553D905C1122995965FAAAF4B492B1D894CE","1","7963BB311D__sat.tv_ar.channels.xml","7963BB311D__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7963BB311D__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\7963BB311D__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\7963BB311D__sat.tv_ar.channels.xml","1780826"
"epg","7A2B0EB76726F8F53915B6F0ABBFC84BE0FFE6A0ED2F7AA6710FC9457DE47FEA","1","7A2B0EB767__epg_epgshare_plex1.xml.gz","7A2B0EB767__epg_epgshare_plex1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7A2B0EB767__epg_epgshare_plex1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\7A2B0EB767__epg_epgshare_plex1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\7A2B0EB767__epg_epgshare_plex1.xml.gz","3766405"
